SampleID,CapShape,CapColor,Odor,GillSpacing,GillColor,StalkShape,RingNumber,Habitat,Population,Class
S0001,flat,gray,foul,crowded,brown,tapering,one,woods,scattered,poisonous
S0002,convex,brown,almond,close,white,tapering,none,grasses,several,edible
S0003,convex,gray,none,distant,black,enlarging,two,leaves,scattered,poisonous
S0004,flat,yellow,none,close,white,enlarging,one,woods,abundant,poisonous
S0005,knobbed,gray,fishy,close,pink,enlarging,one,urban,several,poisonous
S0006,convex,brown,anise,close,pink,tapering,one,grasses,solitary,edible
S0007,convex,gray,almond,close,pink,tapering,one,grasses,several,edible
S0008,convex,brown,none,close,black,enlarging,two,grasses,solitary,edible
S0009,convex,red,anise,close,pink,tapering,one,urban,scattered,poisonous
S0010,convex,white,none,close,pink,enlarging,one,grasses,several,poisonous
S0011,bell,gray,none,close,pink,tapering,one,woods,scattered,edible
S0012,flat,brown,none,crowded,white,tapering,none,urban,solitary,poisonous
S0013,convex,yellow,foul,distant,black,enlarging,one,leaves,solitary,poisonous
S0014,bell,gray,pungent,crowded,brown,tapering,one,urban,several,poisonous
S0015,convex,brown,none,close,brown,tapering,one,woods,scattered,edible
S0016,bell,gray,foul,close,white,tapering,two,paths,several,poisonous
S0017,knobbed,yellow,anise,close,white,tapering,one,urban,scattered,edible
S0018,flat,yellow,foul,close,white,enlarging,one,grasses,solitary,poisonous
S0019,bell,brown,none,close,black,enlarging,one,woods,solitary,edible
S0020,convex,brown,none,close,pink,enlarging,one,woods,solitary,edible
S0021,convex,gray,foul,crowded,black,enlarging,none,paths,several,poisonous
S0022,bell,red,foul,crowded,black,enlarging,one,urban,several,poisonous
S0023,convex,white,anise,close,brown,tapering,one,woods,scattered,edible
S0024,flat,gray,foul,close,brown,tapering,one,grasses,abundant,poisonous
S0025,convex,gray,foul,close,black,enlarging,two,woods,solitary,poisonous
S0026,convex,brown,fishy,close,black,tapering,one,woods,scattered,poisonous
S0027,flat,white,none,close,white,tapering,two,grasses,abundant,edible
S0028,convex,yellow,none,distant,pink,enlarging,none,woods,several,edible
S0029,convex,brown,foul,close,pink,tapering,none,paths,several,poisonous
S0030,convex,brown,foul,close,black,tapering,one,grasses,solitary,poisonous
S0031,bell,gray,almond,crowded,black,enlarging,one,woods,scattered,edible
S0032,convex,white,foul,distant,brown,enlarging,one,leaves,solitary,poisonous
S0033,flat,gray,none,crowded,black,tapering,one,urban,several,edible
S0034,convex,gray,fishy,crowded,green,enlarging,two,grasses,several,poisonous
S0035,flat,brown,almond,crowded,brown,tapering,none,grasses,solitary,edible
S0036,bell,red,foul,crowded,black,tapering,none,woods,solitary,edible
S0037,bell,gray,none,close,brown,tapering,one,woods,solitary,edible
S0038,knobbed,white,almond,close,pink,enlarging,two,woods,solitary,edible
S0039,flat,brown,anise,close,brown,tapering,one,woods,solitary,edible
S0040,convex,gray,none,crowded,green,tapering,none,leaves,scattered,poisonous
S0041,convex,brown,fishy,close,black,tapering,one,leaves,several,poisonous
S0042,convex,gray,none,close,pink,tapering,one,woods,solitary,poisonous
S0043,knobbed,gray,anise,crowded,pink,enlarging,one,paths,several,edible
S0044,bell,yellow,none,close,brown,enlarging,one,paths,solitary,edible
S0045,convex,brown,fishy,close,white,tapering,one,leaves,abundant,poisonous
S0046,flat,white,none,close,white,enlarging,two,woods,several,edible
S0047,convex,gray,foul,close,brown,enlarging,one,grasses,scattered,poisonous
S0048,flat,gray,none,close,black,enlarging,one,grasses,solitary,poisonous
S0049,convex,brown,pungent,crowded,black,tapering,two,grasses,scattered,poisonous
S0050,convex,white,pungent,close,brown,tapering,two,grasses,scattered,poisonous
S0051,flat,brown,none,close,black,tapering,none,grasses,several,poisonous
S0052,convex,gray,pungent,distant,brown,enlarging,one,leaves,solitary,poisonous
S0053,convex,brown,almond,close,black,enlarging,one,grasses,several,edible
S0054,convex,white,almond,close,white,tapering,two,paths,solitary,edible
S0055,convex,gray,none,close,brown,enlarging,one,urban,solitary,edible
S0056,bell,brown,almond,close,brown,tapering,one,woods,abundant,edible
